Elapsed, Counts, T (Raw), T1 (C), P (Raw), P1 (mbar), P2 (mbar), Altitude (m), Dead Time (s), Dead Time Counts
792329.504000, -1, 8425494, 29.656972, 6760662, 1009.758719, 1009.758719, 97.257385, 0.000000, -1
792330.504000, -1, 8425512, 29.657569, 6760676, 1009.765596, 1009.765596, 97.198586, 0.000000, -1
792331.504000, -1, 8425648, 29.662081, 6760610, 1009.749780, 1009.749780, 97.334793, 0.000000, -1
792332.504000, -1, 8425642, 29.661881, 6760522, 1009.714610, 1009.714610, 97.636024, 0.000000, -1
792333.504000, -1, 8425676, 29.663009, 6760516, 1009.714799, 1009.714799, 97.634590, 0.000000, -1
792334.504000, -1, 8425868, 29.669379, 6760462, 1009.707926, 1009.707926, 97.694519, 0.000000, -1
792335.504000, -1, 8425854, 29.668915, 6760472, 1009.710819, 1009.710819, 97.669655, 0.000000, -1
792336.504000, -1, 8425932, 29.671502, 6760566, 1009.753770, 1009.753770, 97.302177, 0.000000, -1
792337.504000, -1, 8426072, 29.676147, 6760516, 1009.744566, 1009.744566, 97.381775, 0.000000, -1
792338.504000, -1, 8426002, 29.673824, 6760548, 1009.751930, 1009.751930, 97.318321, 0.000000, -1
792339.504000, -1, 8426084, 29.676545, 6760530, 1009.750992, 1009.750992, 97.326805, 0.000000, -1
792340.504000, -1, 8426156, 29.678933, 6760450, 1009.724840, 1009.724840, 97.551208, 0.000000, -1
792341.504000, -1, 8426294, 29.683511, 6760596, 1009.792818, 1009.792818, 96.969681, 0.000000, -1
792342.504000, -1, 8426384, 29.686497, 6760328, 1009.693843, 1009.693843, 97.817993, 0.000000, -1
792343.504000, -1, 8426458, 29.688952, 6760476, 1009.757799, 1009.757799, 97.270531, 0.000000, -1
792344.504000, -1, 8426422, 29.687758, 6760370, 1009.713270, 1009.713270, 97.651779, 0.000000, -1
792345.504000, -1, 8426464, 29.689151, 6760356, 1009.710903, 1009.710903, 97.672279, 0.000000, -1
792346.504000, -1, 8426124, 29.677872, 6759004, 1009.151917, 1009.151917, 102.460106, 0.000000, -1
792347.504000, -1, 8425846, 29.668649, 6759050, 1009.149181, 1009.149181, 102.481956, 0.000000, -1
792348.504000, -1, 8425204, 29.647351, 6758962, 1009.066231, 1009.066231, 103.189209, 0.000000, -1
792349.504000, -1, 8425600, 29.660488, 6759004, 1009.112551, 1009.112551, 102.794487, 0.000000, -1
792350.504000, -1, 8425866, 29.669313, 6759236, 1009.224068, 1009.224068, 101.840248, 0.000000, -1
792351.504000, -1, 8426150, 29.678734, 6759798, 1009.467143, 1009.467143, 99.758904, 0.000000, -1
792352.504000, -1, 8425936, 29.671635, 6759336, 1009.268782, 1009.268782, 101.457458, 0.000000, -1
792353.504000, -1, 8425168, 29.646157, 6759476, 1009.266310, 1009.266310, 101.474258, 0.000000, -1
792354.504000, -1, 8424874, 29.636403, 6759528, 1009.264734, 1009.264734, 101.486092, 0.000000, -1
